problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
"[5.806073472568422,5.87868479390326,5.906745558429848,5.925326194329449,5.92594240296159,5.927702941361296,5.929367843198442,5.9312436133706905,5.9332039373453185,5.934775712374077,5.934805266692942,5.93527600500095,5.935557597887123,5.930788072154218,5.930943722073322,5.930944088415375,5.93123317118427,5.93123056468606,5.934899870345198,5.935242183044924,5.935916355639986,5.936382138481896,5.872120652368514,5.874440922936486,5.896525759894103,5.916916862467042,5.917280053764958,5.917403727405782,5.917909595420271,5.918097434840508,5.935744756380457,5.9361173149986985,5.936191979030454,5.9324044245710486,5.964216082523332,5.963837047011722,5.947503109122608,5.947501154370134,5.947679087530696,5.9478671778940315,5.946869520925577,5.947149664151705,5.947191997086475,5.946495983203353,5.946493511316237,5.945251345902215,5.945234050050305,5.94526507187951,5.94531698870622,5.945337139059338,5.945442949329277,5.945442949329277,5.9454314582692165,5.945421236492554,5.945436371665919,5.9463198747406265,5.9463198747406265,5.9463198747406265,5.9463006202610105,5.9456051127720535,5.9457918040814,5.946610444843813,5.946665663634461,5.946758293847045,5.946884119069533,5.957180856403077,5.957181051992943,5.957191297928306,5.957190343170931,5.957180776475537,5.957197257352572,5.956570609600989,5.956582041667112,5.956660920219052,5.956615688216486,5.956615688216486,5.956644699435989,5.924779878744847,5.924779878744847,5.924779878744847,5.924779878744847,5.924809787126305,5.92484625153258,5.9249067012890855,5.924915088131192,5.924933445301866,5.924952041183124,5.924994157000681,5.924994157000681,5.9250257895574965,5.925065822480918,5.925065822480918,5.925104258450168,5.925104258450168,5.925127136515566,5.925127136515566,5.9252730552905595,5.9268806855631855,5.92691545405556,5.92691545405556]"
,,,,,,,
speed_reducer_design,1.2988850651909458e6,0.1,6,"[1276,319,142,80,52,36,27,20,16,13]","[1812,453,202,114,73,51,37,29,23,19]","[2560,640,285,160,103,72,53,40,32,26]","[3126,782,348,196,126,87,64,49,39,32]"
"[1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.0035589306686361e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.1589145303328033e6,1.2988850651909458e6,1.2988850651909458e6,1.2988850651909458e6,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733927.9208199763,733573.0990919775,733573.0990919775,733573.0990919775,733573.0990919775,733573.0990919775,733573.0990919775,733573.0990919775,1.1788879843284376e6,1.1788879843284376e6,1.1788879843284376e6,1.1788879843284376e6,1.1788879843284376e6,1.1788879843284376e6,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897,658101.7056726897]"
,,,,,,,
gear_train_design,96.74656946197278,0.1,7,"[1,1,1,1,1,1,1,1,1,1]","[2,1,1,1,1,1,1,1,1,1]","[2,1,1,1,1,1,1,1,1,1]","[3,1,1,1,1,1,1,1,1,1]"
"[91.36342857162182,95.57781021159126,96.1564799336943,95.9875370588407,96.20269727396247,96.2754301958181,96.39358661666252,96.42791740738488,96.41197622415581,96.17012312207092,96.40578297352856,96.44475534608543,96.24349427777935,96.37134610699935,96.44977189412378,96.45285299747452,96.34314478054839,96.34996309576894,96.25664200154357,96.46149156885457,96.46271535549988,96.50187108245159,96.21315719828536,96.4590376054153,96.2149037162125,96.57499146389063,96.34764495707198,96.51171402208932,96.60071970843013,96.54595291449284,96.40798139610867,96.41763677899428,96.43526865502366,96.41811154534457,96.44005042487721,96.6087929525019,96.70828133728251,96.63319849049171,96.43889822023448,96.71385522697827,96.69463790095776,96.71387248753283,96.70855726412549,96.45626165698584,96.71361106305817,96.54510642895698,96.46447732777283,96.7041509447387,96.46679312821668,96.70018044915531,96.62013993337953,96.6584450613945,96.73085118702919,96.65993403711605,96.64975224373245,96.63951789803757,96.67018044533651,96.66230027317798,96.7319470934224,96.59803417432612,96.46866560806248,96.74656946197278,96.73082923914912,96.69652844649613,96.57761239823938,96.71438322260431,96.45550742488348,96.71167917123205,96.63157229014362,96.72448263222616,96.63459081266328,96.45580822154042,96.71612040765758,96.6759622308232,96.66844888975108,96.4579462695642,96.4579462695642,96.71960137853014,96.4579573160988,96.6605346512651,96.69338790459125,96.70945661898696,96.73481561473875,96.55852316786172,96.60805389881084,96.72369614906046,96.7022029591064,96.71534159031283,96.59781633952271,96.68181572181787,96.71960206832952,96.72745424130555,95.7311870192927,95.97790842863526,95.92475564222057,95.73226513619602,96.02519387702252,95.73226513619602,96.0018900408686,95.73226513619602]"
,,,,,,,
car_side_impact_design,14.157847217250792,0.1,8,"[1547,387,172,97,62,43,32,25,20,16]","[2195,549,244,138,88,61,45,35,28,22]","[3102,776,345,194,125,87,64,49,39,32]","[3789,948,421,237,152,106,78,60,47,38]"
"[0.6742852885372097,0.6584284139247433,0.7660702861662471,11.5945209010985,8.996317483367294,7.053347211827322,7.438898488081249,12.647235534049695,14.157847217250792,7.12274181249887,7.125211865066547,6.95526431977037,6.882607166974364,6.882607166974364,6.720195166758125,6.735893023030941,6.915565785540445,8.268120123235274,7.229375012459864,6.967808810139874,7.478110263903076,7.037076668963448,7.480495772368597,7.990693810263389,7.335795057533251,6.413893271764077,6.6313365459231735,6.137726506575103,6.138232981654468,6.341298347934233,6.341300536192518,6.341303278641351,6.4155923827291925,8.101985905466448,8.035233212601254,10.184650713307974,10.61700838294277,10.617008654020758,10.617009535593684,10.371125514390778,10.622303868755969,10.622304555834788,10.380389758881005,10.38039327384779,9.804211347251089,9.80420842082214,9.804208455844325,9.532829133174772,9.532828820556132,9.532828796381505,9.906946858858168,9.461704056339277,9.633028632827125,9.633028500018655,9.633028397896359,9.631385917486853,9.529736160189989,9.529736160189989,9.952326396968344,9.5297338466949,9.6858900003818,9.6858900003818,9.6858900003818,9.6858900003818,9.658862701694082,9.658862701694082,9.658862339420573,9.6588618249586,9.65886168198825,9.567587243766376,9.427222566860081,9.08030486374151,9.080304456682917,9.080296215381473,9.426952517406587,10.062139839387088,11.011974171584336,11.011974890371379,11.324968639245947,11.011974890371379,10.831952988798664,9.964222819367704,9.634850982531383,9.735011650422974,9.767775116643078,9.76777511146671,9.436551074397588,9.135477662447213,9.398520959048927,9.14004314404459,8.632204492533155,7.536025513948024,8.13791344397405,8.138022723970451,8.217503268091425,8.134986878716191,8.135206176581507,8.135143537724726,8.553135495401436,8.476692438616851]"
