problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
"[7.401367943414045,7.401646964843324,7.40178027381178,7.401823926032274,7.401691317428209,7.401689647050489,7.401793941587371,7.401707885465348,7.401708500589037,7.401837930466164,7.4018353521210045,7.4018556979602925,7.4018466537119725,7.401851203692786,7.401867952598954,7.401866054793082,7.401852633820324,7.401806472186851,7.401845163303046,7.402842712135041,7.4071596566244065,7.407111764860355,7.407174537927553,7.40712565044158,7.407133119065474,7.406910010968885,7.407129890282081,7.406912892502099,7.406972650848855,7.40691398001274,7.407118375231275,7.407088362518953,7.4071204917416615,7.40718394284438,7.407175690968696,7.407179771327877,7.407180822356595,7.407151333113188,7.406967168406574,7.407146494215376,7.407192537470283,7.407193549219116,7.407145381615356,7.407128322092142,7.407121694275752,7.407190860251407,7.40715308081448,7.407664578404324,7.407669036277286,7.4076703804687405,7.407678792331257,7.40767880191843,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911,7.407679011045911]"
,,,,,,,
disc_brake_design,6.077882495213869,0.1,5,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[6.065668098661042,6.065731360699809,6.06723161723863,6.069714876816916,6.071486803516074,6.072602086777071,6.0732060970771045,6.071845977016961,6.072676431850896,6.07404347004219,6.072538231276855,6.07492829668451,6.074630364671179,6.075682524506029,6.075544677718797,6.075627900313357,6.075905496340837,6.0760956835398,6.076214520667533,6.076303455411129,6.074781966718217,6.075641677310126,6.075889358998245,6.076151341342695,6.077882495213869,6.075928607312187,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752,6.077829777608752]"
,,,,,,,
speed_reducer_design,1.7714602583995496e6,0.1,6,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[1.7680261655180682e6,1.7705423100135124e6,1.7706840910265397e6,1.7707169411098368e6,1.7714602583995496e6,1.7712325811123417e6,1.7709558276470983e6,1.7698501354725624e6,1.769725432060898e6,1.76959035819363e6,1.7691432649740032e6,1.7693166087965094e6,1.7697363132118843e6,1.7697912779115415e6,1.7697902649250436e6,1.7691849918409185e6,1.769683116287034e6,1.7698843022895753e6,1.7698343344206752e6,1.769836706120754e6,1.7698427416514286e6,1.7699793294432904e6,1.7698521235787428e6,1.7698580639620484e6,1.7698551560447442e6,1.7701637485816923e6,1.7692643015284347e6,1.7698569357888184e6,1.7698580946112187e6,1.7698688606132013e6,1.7698857397575262e6,1.7699037940674596e6,1.769909103290482e6,1.76934193372916e6,1.7699192802537554e6,1.7698249972360758e6,1.770275589105622e6,1.7702797178193834e6,1.7702793383810096e6,1.770280344126883e6,1.7702819602277628e6,1.7702845265291848e6,1.7702854036225483e6,1.7702907139995245e6,1.770299036090857e6,1.770299741839854e6,1.7702995902470164e6,1.7703001214104802e6,1.7702999734199524e6,1.770304554299287e6,1.7703046093714088e6,1.7703046136214458e6,1.770012993401471e6,1.7701196848132089e6,1.7703099566963501e6,1.770310647045534e6,1.7703144495340819e6,1.7702402722677612e6,1.7700402335797758e6,1.7703118194631422e6,1.7702568903994784e6,1.7697405139837256e6,1.7703321563013322e6,1.7697409156181095e6,1.769740943567934e6,1.7701979156591492e6,1.7697407258629338e6,1.7699260413393974e6,1.7701706415033615e6,1.76974006663178e6,1.769740927432426e6,1.7702992720789001e6,1.769740977622342e6,1.770221927516182e6,1.7702641236526575e6,1.770263546930302e6,1.7697421563646332e6,1.7697427895696985e6,1.7702153764712985e6,1.7702228260286767e6,1.7702556015545703e6,1.7702685387063858e6,1.7699844714757863e6,1.7700458950372827e6,1.769449649223278e6,1.76945089432595e6,1.7702265296790819e6,1.7697486108707688e6,1.769748452151448e6,1.7702659010535646e6,1.7697485900375545e6,1.7697487072609987e6,1.769748891780216e6,1.770227522911579e6,1.77022752383401e6,1.770250810330862e6,1.770250810330862e6,1.7697282202767811e6,1.7703000285418679e6,1.7703000285418679e6]"
,,,,,,,
gear_train_design,97.82886743411264,0.10000000000000002,7,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[97.41377949067878,97.73171893033181,97.7502635535267,97.75886360102541,97.78739672322996,97.7943539519826,97.8004549014325,97.8009950481271,97.8034634394335,97.80671531040194,97.81144765460755,97.8132329854136,97.81620098278346,97.81965515637093,97.81875434622785,97.81258087547293,97.81033119648714,97.81147480434115,97.81428253083216,97.81266053089972,97.82010438766596,97.813007293867,97.8165599172428,97.81173848855498,97.81352826640395,97.81637686526213,97.81583681423206,97.81788294289919,97.81789973930927,97.81640197799743,97.82413192684598,97.82351942601098,97.82011994279563,97.82820414231821,97.82686590864793,97.82449352316698,97.82886743411264,97.8282513956738,97.82488910310846,97.82565197166122,97.82329846627658,97.82183536934045,97.81991851894651,97.82513434873619,97.82493757031415,97.82256073721591,97.82339014867634,97.8228919945669,97.82288226100194,97.82261447925319,97.8174063594634,97.82289831564188,97.81884959027809,97.82149385662541,97.82113266342711,97.81722138147204,97.82064911815577,97.81743869920203,97.8170012099699,97.82064557906392,97.81767801576858,97.81292568724129,97.81988636874374,97.81762248066386,97.81379510952554,97.80767133234295,97.81688069135552,97.81381560207751,97.81571887642423,97.8191628762111,97.81958631725705,97.81624782175308,97.81899814283865,97.8186145969387,97.81777468653351,97.81824954423287,97.81869874641413,97.82369543312055,97.82712659653582,97.81902162796173,97.8245421579743,97.82449613956162,97.8255748409393,97.82293183492757,97.82130977167452,97.82397580437922,97.822730964114,97.81996441178846,97.81665456798419,97.81423782906931,97.8219281977575,97.8203333075595,97.81974361947377,97.81680167521327,97.81803523339305,97.81518689372967,97.81847355298956,97.81766796339254,97.81990575987615,97.82128981586963]"
