problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
"[6.057986850110163,6.058813747474189,6.056685850431468,6.062782016204637,6.06343880604036,6.065545408786825,6.0671505830968355,6.061956777792664,6.064096842101219,6.072291583951607,6.067634439019422,6.068649099544714,6.066838337337637,6.068683024796285,6.062493791823827,6.062725036246139,6.066277775270319,6.065234404893935,6.064609796742905,6.066169857954341,6.061375547564988,6.067004570206972,6.066298339320454,6.069807042058868,6.066264781147603,6.062750464797366,6.067617780898691,6.068492258676935,6.0639435964188575,6.063923062480751,6.0643500636009495,6.065891336293041,6.063919370209079,6.069971281851709,6.064438320724704,6.0669001508935425,6.066573864797583,6.06120131492965,6.066888806435108,6.068538006676515,6.06731883314831,6.066066311430849,6.065859369342658,6.067322884946905,6.062953067148382,6.069056498641582,6.067733119751339,6.066431603269251,6.068517998402207,6.06824082845324,6.066351912796272,6.066707150201175,6.068081228408812,6.06559219437055,6.069475143990193,6.071415625886278,6.068088544275896,6.063446123804593,6.064994724072134,6.071654391295359,6.0690852175332966,6.070287965995588,6.069344147775257,6.0650797750620695,6.066899533004916,6.063536944888911,6.066526170513696,6.063883165792435,6.0669761851924875,6.067263963834494,6.067778737930013,6.065022751361506,6.066088204131549,6.066829338647392,6.067636117410175,6.07080350393421,6.067909255513887,6.062597699134083,6.062246726592629,6.066016398036293,6.062882043930316,6.0626345454356985,6.066634767294012,6.065617370094585,6.066152198619549,6.06359111851874,6.067356689656298,6.063241988171574,6.067502583545262,6.063511038488178,6.065230941275598,6.0631107034511365,6.064699652094915,6.061329095985481,6.065532591299803,6.068552011646067,6.064141750654171,6.067928470169888,6.071261764402182,6.067979635583532]"
,,,,,,,
speed_reducer_design,1.7718832874847823e6,0.1,6,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[1.76832404974029e6,1.7713673398740396e6,1.7713840733333796e6,1.77134315651144e6,1.77128116241998e6,1.771330816853477e6,1.771380850878962e6,1.7712161277960076e6,1.7715136101224625e6,1.771331162386909e6,1.7716496433639016e6,1.7714742762687223e6,1.7713984521911356e6,1.7715720567843267e6,1.7711146291614245e6,1.7716631968111717e6,1.771590564532137e6,1.771556710314728e6,1.7711427545978923e6,1.7715166650995412e6,1.7718355596089305e6,1.7705543306593588e6,1.7717541444494193e6,1.771162834031294e6,1.7714168394132368e6,1.771329717488657e6,1.7715660383003443e6,1.7714918824740592e6,1.7713596587906373e6,1.771485986820233e6,1.7714103459903167e6,1.7711654917994724e6,1.771472692029644e6,1.7714482441577169e6,1.7711786687954224e6,1.771695459352732e6,1.7712457397435617e6,1.7715887080321936e6,1.771451234855057e6,1.7714052249901318e6,1.7716421950464747e6,1.7712289032275232e6,1.7714015357832669e6,1.7710355035787383e6,1.7716979097705812e6,1.7712303909237366e6,1.7718832874847823e6,1.7714208269130713e6,1.7714875775379376e6,1.7716312666998485e6,1.7716360373907716e6,1.7717500538805462e6,1.7710753880077829e6,1.7716317936509545e6,1.7716074236127706e6,1.7716729498647384e6,1.7702281795169024e6,1.7714785660694826e6,1.77146796961696e6,1.7716649220695833e6,1.7712583074835548e6,1.7711540666412541e6,1.771570334874312e6,1.7710137125206692e6,1.7712880737165115e6,1.7713980647046242e6,1.7711626058927595e6,1.7714203602521988e6,1.7710829387595777e6,1.7714739712042294e6,1.7713825183370379e6,1.7712527464479373e6,1.7715997779013608e6,1.7714513356843984e6,1.7712819819514104e6,1.771053243619814e6,1.7713713366065898e6,1.7716677869677406e6,1.7716488881410907e6,1.771836569660552e6,1.7712779753775182e6,1.7715558551602773e6,1.7718630116883672e6,1.7715320022631248e6,1.7716795975744654e6,1.7714971619591261e6,1.771045687674311e6,1.7712283507753722e6,1.7714605945797402e6,1.7715898978103965e6,1.7714497905322004e6,1.77119035756148e6,1.7714347535815507e6,1.771458602276841e6,1.7713026859642856e6,1.7716198517259455e6,1.7715049783585693e6,1.771672801307717e6,1.7714012178737414e6,1.7713536127249198e6]"
,,,,,,,
gear_train_design,97.76231259234774,0.1,7,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[97.60628630826767,97.69708790136261,97.71074437938498,97.7125982152066,97.73802305084287,97.72728504947446,97.70975828631664,97.72380533862903,97.73153635072457,97.72915188917614,97.67280194055837,97.70975615714516,97.73807545559714,97.71564437877302,97.70920649116366,97.71693278420736,97.7363480729984,97.75965495570733,97.74530381794422,97.7405208843384,97.72302853216837,97.71478446749929,97.73206006778668,97.69416216978671,97.71511819197049,97.73262409943499,97.70448557668111,97.70415308113624,97.72743404978854,97.72092767955039,97.7192337276026,97.7175784250467,97.69620455707371,97.72029420384857,97.72035694575366,97.7219477094373,97.72776815072686,97.69891205128509,97.7310559894616,97.74224795094439,97.74980229702636,97.73770466155192,97.74510137269334,97.72802957166785,97.73228208295322,97.72172299059007,97.72232792680809,97.73094425119515,97.7102569296363,97.73393323497419,97.72597542648698,97.73742829356488,97.72328376949619,97.7331524914612,97.7323763523876,97.72553970822274,97.74847715234802,97.7284222721884,97.74005947636917,97.72130453537923,97.71699056329805,97.7247594243241,97.73209558082766,97.75686456247908,97.72296200615027,97.70940093200485,97.74404313426972,97.73714707981378,97.73924904767011,97.69931150107391,97.72569699270053,97.72493811055932,97.74078471236034,97.74828512658402,97.71163853185493,97.74195882060124,97.72404432988469,97.74402322896013,97.72154177427235,97.73864225886838,97.74441436906861,97.73560791068968,97.74840011239472,97.7155251573462,97.7095618890879,97.72518797802704,97.72469883965721,97.74220236166056,97.72993699502933,97.74289377608399,97.73505296207574,97.76231259234774,97.7468890776958,97.73414759660747,97.72358224906625,97.71288878446164,97.71721756676092,97.71261180267769,97.72736984449318,97.73175344192582]"
,,,,,,,
car_side_impact_design,38.06837754769961,0.1,8,"[3,1,1,1,1,1,1,1,1,1]","[4,1,1,1,1,1,1,1,1,1]","[6,2,1,1,1,1,1,1,1,1]","[7,2,1,1,1,1,1,1,1,1]"
"[38.06837754769961,37.92015358915176,37.84660271384364,37.01894791122954,38.05713451424148,36.70908799360354,36.73403908492276,37.05121023872274,37.55291343225118,37.047651039326404,37.752390109538425,36.303660200801666,37.808281403950076,37.128966310235164,37.661331573473575,37.67144143821598,37.30145023382252,36.93589991091391,37.378575650206045,36.84119575717301,37.23914375851991,37.48930910188603,37.44614315730721,37.90031694496349,37.28081784310332,37.4801704595912,37.89330213420416,37.771068117960965,37.421345825831104,37.428198388365104,37.17027632483971,37.48726121468817,37.63906977596274,37.12297541576653,37.86266024608056,37.997650239885054,36.54451713465391,36.959363945828585,37.631911868810136,37.684464236620606,37.51850122154448,37.30543507955234,37.70508209276793,38.002413555728666,37.33190533151427,37.60186639974932,37.90677485764621,37.43982448695556,38.06250563619339,37.59951043959914,37.80515113697173,37.33948716226786,37.40577279422664,37.66256542242023,37.20067163553619,37.572493528881104,37.38919421751597,37.73999252916096,37.53344352612465,37.769975301024196,37.088181577674284,37.521855926310806,37.8119717755746,37.48684703307502,37.61707514621555,37.544731135616395,37.960971686255654,37.22541323762325,37.71040994048268,37.26908302672967,37.264335255902644,36.99726638988257,37.95708639575094,37.93765844940293,37.392533051839166,37.7218542304861,37.318037311657406,36.98831439985427,37.497260721880544,37.16693903590365,37.444354795668055,37.42600586381448,37.80597787150578,37.410681478558715,37.933660499307145,37.3492282495223,37.07858472107709,37.44004099517931,37.11830397976556,36.25011601074576,37.84397737268197,37.800421066971396,37.61334921633847,37.435471145118015,37.487886063003856,36.90946186666665,37.62637736839832,37.774351377103265,36.998308115018716,37.73448193214831]"
